Time,ID,behv,N,comm_area,Area Coverage
0.0,1,seeker,,149.99999999999997,
0.0,2,seeker,,149.99999999999997,
0.0,3,seeker,,149.99999999999997,
0.0,4,seeker,,149.99999999999997,
0.0,5,seeker,,149.99999999999997,
0.0,6,seeker,,149.99999999999997,
0.0,7,seeker,,149.99999999999997,
0.0,8,seeker,,149.99999999999997,
0.0,9,seeker,,149.99999999999997,
0.0,10,seeker,,149.99999999999997,
0.0,11,seeker,,149.99999999999997,
0.0,12,seeker,,149.99999999999997,
0.0,13,seeker,,149.99999999999997,
0.0,14,explorer,,266.66666666666663,
0.0,15,explorer,,266.66666666666663,
0.0,16,explorer,,266.66666666666663,
0.0,17,explorer,,266.66666666666663,
0.0,18,explorer,,266.66666666666663,
0.0,19,explorer,,266.66666666666663,
0.0,20,explorer,,266.66666666666663,
0.0,21,explorer,,266.66666666666663,
0.0,22,explorer,,266.66666666666663,
0.0,23,explorer,,266.66666666666663,
0.0,24,explorer,,266.66666666666663,
0.0,25,explorer,,266.66666666666663,
0.0,Target,,,,
0.1,1,seeker,2.0,149.99999999999997,50.0
0.1,2,seeker,0.0,149.99999999999997,150.0
0.1,3,seeker,0.0,149.99999999999997,150.0
0.1,4,seeker,2.0,149.99999999999997,50.0
0.1,5,seeker,1.0,149.99999999999997,75.0
0.1,6,seeker,3.0,149.99999999999997,37.5
0.1,7,seeker,2.0,149.99999999999997,50.0
0.1,8,seeker,4.0,149.99999999999997,30.0
0.1,9,seeker,0.0,149.99999999999997,150.0
0.1,10,seeker,2.0,149.99999999999997,50.0
0.1,11,seeker,1.0,149.99999999999997,75.0
0.1,12,seeker,3.0,149.99999999999997,37.5
0.1,13,seeker,5.0,149.99999999999997,25.0
0.1,14,explorer,4.0,266.66666666666663,53.333
0.1,15,explorer,3.0,266.66666666666663,66.667
0.1,16,explorer,2.0,266.66666666666663,88.889
0.1,17,explorer,3.0,266.66666666666663,66.667
0.1,18,explorer,3.0,266.66666666666663,66.667
0.1,19,explorer,2.0,266.66666666666663,88.889
0.1,20,explorer,2.0,266.66666666666663,88.889
0.1,21,explorer,1.0,266.66666666666663,133.333
0.1,22,explorer,3.0,266.66666666666663,66.667
0.1,23,explorer,2.0,266.66666666666663,88.889
0.1,24,explorer,3.0,266.66666666666663,66.667
0.1,25,explorer,3.0,266.66666666666663,66.667
0.1,Target,,,,
0.2,1,seeker,2.0,149.99999999999997,50.0
0.2,2,seeker,0.0,149.99999999999997,150.0
0.2,3,seeker,0.0,149.99999999999997,150.0
0.2,4,seeker,2.0,149.99999999999997,50.0
0.2,5,seeker,1.0,149.99999999999997,75.0
0.2,6,seeker,3.0,149.99999999999997,37.5
0.2,7,seeker,2.0,149.99999999999997,50.0
0.2,8,seeker,4.0,149.99999999999997,30.0
0.2,9,seeker,0.0,149.99999999999997,150.0
0.2,10,seeker,2.0,149.99999999999997,50.0
0.2,11,seeker,1.0,149.99999999999997,75.0
0.2,12,seeker,4.0,149.99999999999997,30.0
0.2,13,seeker,4.0,149.99999999999997,30.0
0.2,14,explorer,4.0,266.66666666666663,53.333
0.2,15,explorer,3.0,266.66666666666663,66.667
0.2,16,explorer,2.0,266.66666666666663,88.889
0.2,17,explorer,4.0,266.66666666666663,53.333
0.2,18,explorer,3.0,266.66666666666663,66.667
0.2,19,explorer,2.0,266.66666666666663,88.889
0.2,20,explorer,2.0,266.66666666666663,88.889
0.2,21,explorer,1.0,266.66666666666663,133.333
0.2,22,explorer,2.0,266.66666666666663,88.889
0.2,23,explorer,2.0,266.66666666666663,88.889
0.2,24,explorer,3.0,266.66666666666663,66.667
0.2,25,explorer,3.0,266.66666666666663,66.667
0.2,Target,,,,
0.3,1,seeker,2.0,149.99999999999997,50.0
0.3,2,seeker,0.0,149.99999999999997,150.0
0.3,3,seeker,0.0,149.99999999999997,150.0
0.3,4,seeker,2.0,149.99999999999997,50.0
0.3,5,seeker,1.0,149.99999999999997,75.0
0.3,6,seeker,3.0,149.99999999999997,37.5
0.3,7,seeker,2.0,149.99999999999997,50.0
0.3,8,seeker,3.0,149.99999999999997,37.5
0.3,9,seeker,0.0,149.99999999999997,150.0
0.3,10,seeker,2.0,149.99999999999997,50.0
0.3,11,seeker,1.0,149.99999999999997,75.0
0.3,12,seeker,4.0,149.99999999999997,30.0
0.3,13,seeker,4.0,149.99999999999997,30.0
0.3,14,explorer,4.0,266.66666666666663,53.333
0.3,15,explorer,3.0,266.66666666666663,66.667
0.3,16,explorer,2.0,266.66666666666663,88.889
0.3,17,explorer,4.0,266.66666666666663,53.333
0.3,18,explorer,3.0,266.66666666666663,66.667
0.3,19,explorer,2.0,266.66666666666663,88.889
0.3,20,explorer,2.0,266.66666666666663,88.889
0.3,21,explorer,1.0,266.66666666666663,133.333
0.3,22,explorer,2.0,266.66666666666663,88.889
0.3,23,explorer,2.0,266.66666666666663,88.889
0.3,24,explorer,3.0,266.66666666666663,66.667
0.3,25,explorer,3.0,266.66666666666663,66.667
0.3,Target,,,,
0.4,1,seeker,2.0,149.99999999999997,50.0
0.4,2,seeker,0.0,149.99999999999997,150.0
0.4,3,seeker,0.0,149.99999999999997,150.0
0.4,4,seeker,2.0,149.99999999999997,50.0
0.4,5,seeker,1.0,149.99999999999997,75.0
0.4,6,seeker,3.0,149.99999999999997,37.5
0.4,7,seeker,2.0,149.99999999999997,50.0
0.4,8,seeker,3.0,149.99999999999997,37.5
0.4,9,seeker,0.0,149.99999999999997,150.0
0.4,10,seeker,2.0,149.99999999999997,50.0
0.4,11,seeker,2.0,149.99999999999997,50.0
0.4,12,seeker,3.0,149.99999999999997,37.5
0.4,13,seeker,4.0,149.99999999999997,30.0
0.4,14,explorer,4.0,266.66666666666663,53.333
0.4,15,explorer,3.0,266.66666666666663,66.667
0.4,16,explorer,2.0,266.66666666666663,88.889
0.4,17,explorer,4.0,266.66666666666663,53.333
0.4,18,explorer,3.0,266.66666666666663,66.667
0.4,19,explorer,2.0,266.66666666666663,88.889
0.4,20,explorer,2.0,266.66666666666663,88.889
0.4,21,explorer,1.0,266.66666666666663,133.333
0.4,22,explorer,2.0,266.66666666666663,88.889
0.4,23,explorer,2.0,266.66666666666663,88.889
0.4,24,explorer,3.0,266.66666666666663,66.667
0.4,25,explorer,3.0,266.66666666666663,66.667
0.4,Target,,,,
0.5,1,seeker,2.0,149.99999999999997,50.0
0.5,2,seeker,0.0,149.99999999999997,150.0
0.5,3,seeker,0.0,149.99999999999997,150.0
0.5,4,seeker,2.0,149.99999999999997,50.0
0.5,5,seeker,1.0,149.99999999999997,75.0
0.5,6,seeker,3.0,149.99999999999997,37.5
0.5,7,seeker,2.0,149.99999999999997,50.0
0.5,8,seeker,3.0,149.99999999999997,37.5
0.5,9,seeker,0.0,149.99999999999997,150.0
0.5,10,seeker,2.0,149.99999999999997,50.0
0.5,11,seeker,2.0,149.99999999999997,50.0
0.5,12,seeker,4.0,149.99999999999997,30.0
0.5,13,seeker,4.0,149.99999999999997,30.0
0.5,14,explorer,3.0,266.66666666666663,66.667
0.5,15,explorer,3.0,266.66666666666663,66.667
0.5,16,explorer,2.0,266.66666666666663,88.889
0.5,17,explorer,4.0,266.66666666666663,53.333
0.5,18,explorer,3.0,266.66666666666663,66.667
